Symbol,Date,Close,Volume,Dayoff
PLX,2022-08-21,42700.0,1500000.0,Yes
POW,2022-08-21,13600.0,11860000.0,Yes
SAB,2022-08-21,195000.0,104300.0,Yes
SSI,2022-08-21,25150.0,15750000.0,Yes
STB,2022-08-21,25100.0,7720000.0,Yes
TCB,2022-08-21,39000.0,2570000.0,Yes
TPB,2022-08-21,28400.0,1460000.0,Yes
VCB,2022-08-21,80900.0,1150000.0,Yes
VHM,2022-08-21,60100.0,2780000.0,Yes
VIB,2022-08-21,25700.0,1840000.0,Yes
VIC,2022-08-21,67900.0,1220000.0,Yes
VJC,2022-08-21,124000.0,555000.0,Yes
VNM,2022-08-21,74100.0,5230000.0,Yes
VPB,2022-08-21,20833.0,47660000.0,Yes
VRE,2022-08-21,29300.0,2500000.0,Yes
ACB,2022-08-22,24650.0,2240000.0,No
BID,2022-08-22,38450.0,1760000.0,No
BVH,2022-08-22,57000.0,899200.0,No
CTG,2022-08-22,28000.0,5540000.0,No
FPT,2022-08-22,85802.0,1630000.0,No
GAS,2022-08-22,114900.0,370200.0,No
GVR,2022-08-22,23650.0,1950000.0,No
HDB,2022-08-22,20360.0,3440000.0,No
HPG,2022-08-22,23350.0,23800000.0,No
KDH,2022-08-22,37700.0,946500.0,No
MBB,2022-08-22,23100.0,10640000.0,No
MSN,2022-08-22,111800.0,460700.0,No
MWG,2022-08-22,66500.0,5860000.0,No
NVL,2022-08-22,81800.0,3160000.0,No
PDR,2022-08-22,56100.0,2850000.0,No
PLX,2022-08-22,42350.0,988200.0,No
POW,2022-08-22,13650.0,8340000.0,No
SAB,2022-08-22,194000.0,87800.0,No
SSI,2022-08-22,24700.0,16750000.0,No
STB,2022-08-22,24700.0,9670000.0,No
TCB,2022-08-22,38700.0,3090000.0,No
TPB,2022-08-22,27900.0,1460000.0,No
VCB,2022-08-22,80000.0,525800.0,No
VHM,2022-08-22,59400.0,2120000.0,No
VIB,2022-08-22,25000.0,2420000.0,No
VIC,2022-08-22,66000.0,1470000.0,No
VJC,2022-08-22,123900.0,259100.0,No
VNM,2022-08-22,73700.0,2069999.0,No
VPB,2022-08-22,20833.0,20100000.0,No
VRE,2022-08-22,29050.0,1380000.0,No
ACB,2022-08-23,24800.0,2390000.0,No
BID,2022-08-23,39500.0,1730000.0,No
BVH,2022-08-23,56800.0,761300.0,No
CTG,2022-08-23,28000.0,4280000.0,No
FPT,2022-08-23,86000.0,1090000.0,No
GAS,2022-08-23,117000.0,446500.0,No
GVR,2022-08-23,23950.0,1180000.0,No
HDB,2022-08-23,20560.0,3110000.0,No
HPG,2022-08-23,23650.0,16690000.0,No
KDH,2022-08-23,37700.0,1370000.0,No
MBB,2022-08-23,23200.0,5630000.0,No
MSN,2022-08-23,112600.0,649500.0,No
MWG,2022-08-23,66900.0,4010000.0,No
NVL,2022-08-23,82000.0,3420000.0,No
PDR,2022-08-23,56600.0,3200000.0,No
PLX,2022-08-23,44000.0,3990000.0,No
POW,2022-08-23,13900.0,9780000.0,No
SAB,2022-08-23,190000.0,89400.0,No
SSI,2022-08-23,25400.0,32420000.0,No
STB,2022-08-23,25000.0,9880000.0,No
TCB,2022-08-23,38800.0,3340000.0,No
TPB,2022-08-23,28000.0,1230000.0,No
VCB,2022-08-23,80200.0,648000.0,No
VHM,2022-08-23,59500.0,1350000.0,No
VIB,2022-08-23,25200.0,1120000.0,No
VIC,2022-08-23,65000.0,1440000.0,No
VJC,2022-08-23,123500.0,613900.0,No
VNM,2022-08-23,75800.0,4550000.0,No
VPB,2022-08-23,20800.0,13270000.0,No
VRE,2022-08-23,28850.0,1850000.0,No
ACB,2022-08-24,24850.0,2700000.0,No
BID,2022-08-24,39300.0,969800.0,No
BVH,2022-08-24,56900.0,1230000.0,No
CTG,2022-08-24,28200.0,3130000.0,No
FPT,2022-08-24,86200.0,1010000.0,No
GAS,2022-08-24,117300.0,358100.0,No
GVR,2022-08-24,24150.0,1160000.0,No
HDB,2022-08-24,20720.0,1950000.0,No
HPG,2022-08-24,23500.0,12130000.0,No
KDH,2022-08-24,37750.0,1030000.0,No
MBB,2022-08-24,23300.0,7260000.0,No
MSN,2022-08-24,111900.0,556200.0,No
MWG,2022-08-24,66800.0,2220000.0,No
NVL,2022-08-24,82900.0,2530000.0,No
PDR,2022-08-24,56400.0,2860000.0,No
PLX,2022-08-24,43800.0,1410000.0,No
POW,2022-08-24,14050.0,15170000.0,No
SAB,2022-08-24,187000.0,123100.0,No
SSI,2022-08-24,25250.0,13470000.0,No
STB,2022-08-24,25400.0,13330000.0,No
TCB,2022-08-24,39250.0,3990000.0,No
TPB,2022-08-24,28100.0,1180000.0,No
VCB,2022-08-24,82000.0,1080000.0,No
VHM,2022-08-24,59700.0,1050000.0,No
VIB,2022-08-24,25100.0,1100000.0,No
VIC,2022-08-24,64900.0,787500.0,No
VJC,2022-08-24,123500.0,508000.0,No
VNM,2022-08-24,77700.0,5440000.0,No
VPB,2022-08-24,20933.0,19130000.0,No
VRE,2022-08-24,28600.0,1570000.0,No
ACB,2022-08-25,25000.0,3630000.0,No
BID,2022-08-25,39300.0,1270000.0,No
BVH,2022-08-25,57000.0,949200.0,No
CTG,2022-08-25,28700.0,4170000.0,No
FPT,2022-08-25,86300.0,1140000.0,No
GAS,2022-08-25,116500.0,424500.0,No
GVR,2022-08-25,25450.0,5090000.0,No
HDB,2022-08-25,21160.0,2720000.0,No
HPG,2022-08-25,23850.0,18260000.0,No
KDH,2022-08-25,38200.0,660700.0,No
MBB,2022-08-25,23650.0,11500000.0,No
MSN,2022-08-25,112800.0,564700.0,No
MWG,2022-08-25,68400.0,5150000.0,No
NVL,2022-08-25,83600.0,3050000.0,No
PDR,2022-08-25,56700.0,2430000.0,No
PLX,2022-08-25,43900.0,946800.0,No
POW,2022-08-25,14100.0,10610000.0,No
SAB,2022-08-25,187500.0,61400.0,No
SSI,2022-08-25,25500.0,14780000.0,No
STB,2022-08-25,25650.0,8890000.0,No
TCB,2022-08-25,39550.0,3710000.0,No
TPB,2022-08-25,28800.0,1690000.0,No
VCB,2022-08-25,82000.0,538800.0,No
VHM,2022-08-25,61000.0,2029999.0,No
VIB,2022-08-25,25700.0,2120000.0,No
VIC,2022-08-25,65900.0,483000.0,No
VJC,2022-08-25,123400.0,370700.0,No
VNM,2022-08-25,77900.0,2180000.0,No
VPB,2022-08-25,21300.0,26180000.0,No
VRE,2022-08-25,29200.0,1130000.0,No
ACB,2022-08-26,24800.0,3880000.0,No
BID,2022-08-26,39400.0,2009999.0,No
BVH,2022-08-26,57000.0,1550000.0,No
CTG,2022-08-26,28450.0,3920000.0,No
FPT,2022-08-26,87200.0,1940000.0,No
GAS,2022-08-26,115200.0,491500.0,No
GVR,2022-08-26,25400.0,1740000.0,No
HDB,2022-08-26,21040.0,2600000.0,No
HPG,2022-08-26,23500.0,16469999.0,No
KDH,2022-08-26,38350.0,676700.0,No
MBB,2022-08-26,23600.0,10030000.0,No
MSN,2022-08-26,112200.0,359700.0,No
MWG,2022-08-26,72200.0,10850000.0,No
NVL,2022-08-26,83300.0,3060000.0,No
PDR,2022-08-26,56300.0,2900000.0,No
PLX,2022-08-26,43500.0,1930000.0,No
POW,2022-08-26,14250.0,25200000.0,No
SAB,2022-08-26,188000.0,91500.0,No
