Date,Close,Volume,Symbol,Dayoff
2019-08-13,277000,35660,SAB,No
2019-08-13,11388,1890000,SSI,No
2019-08-13,10200,4099999,STB,No
2019-08-13,20650,2100000,TCB,No
2019-08-13,13701,726670,TPB,No
2019-08-13,58593,1030000,VCB,No
2019-08-13,63082,940210,VHM,No
2019-08-13,9887,1620000,VIB,No
2019-08-13,104978,349120,VIC,No
2019-08-13,132500,526150,VJC,No
2019-08-13,93432,1410000,VNM,No
2019-08-13,7074,8150000,VPB,No
2019-08-13,34900,1700000,VRE,No
2019-08-14,10683,1840000,ACB,No
2019-08-14,26863,654820,BID,No
2019-08-14,78500,88740,BVH,No
2019-08-14,15659,3500000,CTG,No
2019-08-14,31077,3500000,FPT,No
2019-08-14,100900,163970,GAS,No
2019-08-14,15500,836000,GVR,No
2019-08-14,10201,3760000,HDB,No
2019-08-14,10728,8150000,HPG,No
2019-08-14,18099,312910,KDH,No
2019-08-14,10981,6260000,MBB,No
2019-08-14,75600,432980,MSN,No
2019-08-14,38754,2180000,MWG,No
2019-08-14,33490,951330,NVL,No
2019-08-14,16997,1080000,PDR,No
2019-08-14,62400,267530,PLX,No
2019-08-14,12900,1320000,POW,No
2019-08-14,277000,29000,SAB,No
2019-08-14,11362,2330000,SSI,No
2019-08-14,10150,3670000,STB,No
2019-08-14,20850,1250000,TCB,No
2019-08-14,13610,357280,TPB,No
2019-08-14,58593,452660,VCB,No
2019-08-14,63158,633520,VHM,No
2019-08-14,10060,1030000,VIB,No
2019-08-14,105422,340220,VIC,No
2019-08-14,131600,1000000,VJC,No
2019-08-14,93986,812830,VNM,No
2019-08-14,7129,2960000,VPB,No
2019-08-14,34700,1310000,VRE,No
2019-08-15,10683,2990000,ACB,No
2019-08-15,26863,693160,BID,No
2019-08-15,78400,92830,BVH,No
2019-08-15,15582,2970000,CTG,No
2019-08-15,31553,3530000,FPT,No
2019-08-15,100900,266470,GAS,No
2019-08-15,15700,1680000,GVR,No
2019-08-15,10220,4450000,HDB,No
2019-08-15,10637,14490000,HPG,No
2019-08-15,18137,405380,KDH,No
2019-08-15,10981,6300000,MBB,No
2019-08-15,76100,487060,MSN,No
2019-08-15,39112,2780000,MWG,No
2019-08-15,34435,1100000,NVL,No
2019-08-15,16804,1640000,PDR,No
2019-08-15,61500,462000,PLX,No
2019-08-15,12800,900070,POW,No
2019-08-15,285000,15480,SAB,No
2019-08-15,11388,3790000,SSI,No
2019-08-15,10350,3230000,STB,No
2019-08-15,21000,2110000,TCB,No
2019-08-15,13580,225020,TPB,No
2019-08-15,60666,651180,VCB,No
2019-08-15,63919,479530,VHM,No
2019-08-15,10595,1870000,VIB,No
2019-08-15,107556,368010,VIC,No
2019-08-15,130300,529870,VJC,No
2019-08-15,96599,807740,VNM,No
2019-08-15,7148,3580000,VPB,No
2019-08-15,35400,1270000,VRE,No
2019-08-16,10781,3120000,ACB,No
2019-08-16,27552,4070000,BID,No
2019-08-16,77100,144210,BVH,No
2019-08-16,15659,4200000,CTG,No
2019-08-16,30958,7190000,FPT,No
2019-08-16,100900,373200,GAS,No
2019-08-16,15700,958720,GVR,No
2019-08-16,10240,4700000,HDB,No
2019-08-16,10545,18650000,HPG,No
2019-08-16,18523,471320,KDH,No
2019-08-16,11031,8520000,MBB,No
2019-08-16,77000,405510,MSN,No
2019-08-16,38232,4410000,MWG,No
2019-08-16,34380,734920,NVL,No
2019-08-16,16772,965300,PDR,No
2019-08-16,62400,399760,PLX,No
2019-08-16,12900,1050000,POW,No
2019-08-16,276000,78780,SAB,No
2019-08-16,11596,4210000,SSI,No
2019-08-16,10300,1930000,STB,No
2019-08-16,21900,6270000,TCB,No
2019-08-16,13610,221390,TPB,No
2019-08-16,59822,703310,VCB,No
2019-08-16,63538,766440,VHM,No
2019-08-16,10952,3370000,VIB,No
2019-08-16,108445,390800,VIC,No
2019-08-16,130500,636040,VJC,No
2019-08-16,98262,1290000,VNM,No
2019-08-16,7203,8970000,VPB,No
2019-08-16,35150,1350000,VRE,No
2019-08-17,10781,3120000,ACB,Yes
2019-08-17,27552,4070000,BID,Yes
2019-08-17,77100,144210,BVH,Yes
2019-08-17,15659,4200000,CTG,Yes
2019-08-17,30958,7190000,FPT,Yes
2019-08-17,100900,373200,GAS,Yes
2019-08-17,15700,958720,GVR,Yes
2019-08-17,10240,4700000,HDB,Yes
2019-08-17,10545,18650000,HPG,Yes
2019-08-17,18523,471320,KDH,Yes
2019-08-17,11031,8520000,MBB,Yes
2019-08-17,77000,405510,MSN,Yes
2019-08-17,38232,4410000,MWG,Yes
2019-08-17,34380,734920,NVL,Yes
2019-08-17,16772,965300,PDR,Yes
2019-08-17,62400,399760,PLX,Yes
2019-08-17,12900,1050000,POW,Yes
2019-08-17,276000,78780,SAB,Yes
2019-08-17,11596,4210000,SSI,Yes
2019-08-17,10300,1930000,STB,Yes
2019-08-17,21900,6270000,TCB,Yes
2019-08-17,13610,221390,TPB,Yes
2019-08-17,59822,703310,VCB,Yes
2019-08-17,63538,766440,VHM,Yes
2019-08-17,10952,3370000,VIB,Yes
2019-08-17,108445,390800,VIC,Yes
2019-08-17,130500,636040,VJC,Yes
2019-08-17,98262,1290000,VNM,Yes
2019-08-17,7203,8970000,VPB,Yes
2019-08-17,35150,1350000,VRE,Yes
2019-08-18,10781,3120000,ACB,Yes
